update_time,Nhiệt độ,Thời tiết,Độ ẩm,Hướng gió,location_id,location
7h  31/01/2026,19°C,"Nhiều mây, không mưa",98,Lặng gió,2,Thời tiết Hòa Bình (Phú Thọ)
7h  31/01/2026,20°C,Có sương mù,97,Lặng gió,3,Thời tiết Trường Vinh (Nghệ An)
7h  31/01/2026,20°C,"Nhiều mây, không mưa",96,Lặng gió,4,Thời tiết Thành Sen (Hà Tĩnh)
7h  31/01/2026,18°C,"Nhiều mây, không mưa",96,Gió tây bắc - tốc độ: 1 m/s,5,Thời tiết Đồng Hới (Quảng Trị)
7h  31/01/2026,19°C,"Nhiều mây, không mưa",95,Lặng gió,6,Thời tiết Quảng Trị (Quảng Trị)
7h  31/01/2026,19°C,"Nhiều mây, không mưa",95,Lặng gió,7,Thời tiết Thuận Hóa (Tp Huế)
7h  31/01/2026,21°C,"Nhiều mây, không mưa",92,Gió bắc tây bắc - tốc độ: 1 m/s,8,Thời tiết Cẩm Thành (Quảng Ngãi)
7h  31/01/2026,21°C,"Nhiều mây, không mưa",93,Gió tây - tốc độ: 1 m/s,9,Thời tiết Nha Trang (Khánh Hòa)
7h  31/01/2026,24°C,"Nhiều mây, không mưa",81,Gió đông bắc - tốc độ: 1 m/s,10,Thời tiết Phan Thiết (Lâm Đồng)
7h  31/01/2026,18°C,"Mây thay đổi, trời nắng",95,Lặng gió,11,Thời tiết Kon Tum (Quảng Ngãi)
7h  31/01/2026,16°C,"Nhiều mây, không mưa",94,Gió đông - tốc độ: 1 m/s,12,Thời tiết Pleiku (Gia Lai)
7h  31/01/2026,18°C,"Nhiều mây, không mưa",95,Gió đông - tốc độ: 3 m/s,13,Thời tiết Buôn Ma Thuột (Đắk Lắk)
7h  31/01/2026,11°C,"Mây thay đổi, trời nắng",86,Lặng gió,14,Thời tiết Xuân Hương - Đà Lạt  (Lâm Đồng)
7h  31/01/2026,24°C,"Mây thay đổi, trời nắng",85,Lặng gió,15,Thời tiết Sài Gòn (Tp Hồ Chí Minh)
7h  31/01/2026,22°C,"Mây thay đổi, trời nắng",89,Gió đông đông bắc - tốc độ: 1 m/s,16,Thời tiết Bình Dương (Tp Hồ Chí Minh)
7h  31/01/2026,19°C,"Mây thay đổi, trời nắng",93,Lặng gió,17,Thời tiết Hoa Lư (Ninh Bình)
7h  31/01/2026,18°C,Có sương mù,99,Lặng gió,18,Thời tiết Thái Bình (Hưng Yên)
7h  31/01/2026,19°C,"Nhiều mây, không mưa",98,Lặng gió,19,Thời tiết Hải Dương (Tp Hải Phòng)
7h  31/01/2026,19°C,"Nhiều mây, không mưa",97,Lặng gió,20,Thời tiết Phủ Lý (Ninh Bình)
7h  31/01/2026,22°C,"Nhiều mây, không mưa",92,Lặng gió,21,Thời tiết Long An (Tây Ninh)
7h  31/01/2026,22°C,"Nhiều mây, không mưa",89,Lặng gió,22,Thời tiết Cao Lãnh (Đồng Tháp)
7h  31/01/2026,23°C,"Nhiều mây, không mưa",89,Gió đông đông nam - tốc độ: 1 m/s,23,Thời tiết Mỹ Tho (Đồng Tháp)
7h  31/01/2026,23°C,"Mây thay đổi, trời nắng",93,Gió đông đông nam - tốc độ: 2 m/s,24,Thời tiết Bến Tre (Vĩnh Long)
7h  31/01/2026,22°C,"Nhiều mây, không mưa",94,Lặng gió,25,Thời tiết Trà Vinh (Vĩnh Long)
7h  31/01/2026,24°C,"Mây thay đổi, trời nắng",89,Lặng gió,26,Thời tiết Ninh Kiều (Tp Cần Thơ)
7h  31/01/2026,23°C,"Mây thay đổi, trời nắng",93,Lặng gió,27,Thời tiết Sóc Trăng (Tp Cần Thơ)
7h  31/01/2026,20°C,"Nhiều mây, không mưa",96,Lặng gió,28,Thời tiết Hoàn Kiếm (Tp Hà Nội)
7h  31/01/2026,24°C,"Nhiều mây, không mưa",89,Gió đông đông bắc - tốc độ: 2 m/s,29,Thời tiết Bạc Liêu (Cà Mau)
7h  31/01/2026,21°C,"Nhiều mây, không mưa",96,Lặng gió,30,Thời tiết Phước Long (Đồng Nai)
7h  31/01/2026,24°C,"Nhiều mây, không mưa",79,Gió đông - tốc độ: 1 m/s,31,Thời tiết Vũng Tàu (Tp Hồ Chí Minh)
7h  31/01/2026,23°C,"Nhiều mây, không mưa",93,Lặng gió,32,Thời tiết Biên Hòa (Đồng Nai)
7h  31/01/2026,19°C,"Nhiều mây, không mưa",96,Gió đông - tốc độ: 1 m/s,33,Thời tiết Phố Hiến (Hưng Yên)
7h  31/01/2026,20°C,"Nhiều mây, không mưa",93,Gió đông - tốc độ: 1 m/s,34,Thời tiết Nam Định (Ninh Bình)
7h  31/01/2026,22°C,Có sương mù,99,Lặng gió,35,Thời tiết Tây Ninh (Tây Ninh)
7h  31/01/2026,18°C,Có mưa,98,Lặng gió,36,Thời tiết Hà Giang (Tuyên Quang)
7h  31/01/2026,20°C,Có mưa,96,Lặng gió,37,Thời tiết Lào Cai (Lào Cai)
7h  31/01/2026,16°C,"Ít mây, trời nắng",93,Lặng gió,38,Thời tiết Mường Thanh (Điện Biên)
7h  31/01/2026,16°C,"Nhiều mây, không mưa",93,Lặng gió,39,Thời tiết Bắc Gia Nghĩa (Lâm Đồng)
,°C,,,,40,Thời tiết Vị Thanh (Tp Cần Thơ)
7h  31/01/2026,23°C,"Nhiều mây, không mưa",94,Gió bắc - tốc độ: 1 m/s,41,Thời tiết Rạch Giá (An Giang)
7h  31/01/2026,25°C,"Nhiều mây, không mưa",81,Gió đông đông nam - tốc độ: 1 m/s,42,Thời tiết Tân Thành (Cà Mau)
7h  31/01/2026,20°C,"Nhiều mây, không mưa",99,Gió đông - tốc độ: 1 m/s,43,Thời tiết Việt Trì (Phú Thọ)
7h  31/01/2026,20°C,"Nhiều mây, không mưa",94,Lặng gió,44,Thời tiết Vĩnh Phúc (Phú Thọ)
7h  31/01/2026,16°C,"Nhiều mây, không mưa",94,Lặng gió,45,Thời tiết Tô Hiệu (Sơn La)
7h  31/01/2026,19°C,"Nhiều mây, không mưa",93,Lặng gió,46,Thời tiết Bắc Giang (Bắc Ninh)
7h  31/01/2026,19°C,"Nhiều mây, không mưa",97,Lặng gió,47,Thời tiết Kinh Bắc (Bắc Ninh)
7h  31/01/2026,15°C,"Nhiều mây, không mưa",94,Gió bắc - tốc độ: 2 m/s,48,Thời tiết Lương Văn Tri (Lạng Sơn)
7h  31/01/2026,16°C,Có mưa,88,Gió bắc đông bắc - tốc độ: 1 m/s,49,Thời tiết Thục Phán (Cao Bằng)
7h  31/01/2026,20°C,"Nhiều mây, không mưa",97,Gió bắc - tốc độ: 2 m/s,50,Thời tiết Minh Xuân (Tuyên Quang)
7h  31/01/2026,19°C,"Nhiều mây, không mưa",95,Lặng gió,51,Thời tiết Phan Đình Phùng (Thái Nguyên)
7h  31/01/2026,18°C,"Nhiều mây, không mưa",98,Lặng gió,52,Thời tiết Bắc Kạn (Thái Nguyên)
7h  31/01/2026,20°C,"Nhiều mây, không mưa",99,Gió đông - tốc độ: 1 m/s,53,Thời tiết Yên Bái (Lào Cai)
7h  31/01/2026,18°C,"Nhiều mây, không mưa",97,Gió đông bắc - tốc độ: 2 m/s,54,Thời tiết Lê Chân (Tp Hải Phòng)
7h  31/01/2026,20°C,"Mây thay đổi, trời nắng",90,Lặng gió,55,Thời tiết Hải Châu (Tp Đà Nẵng)
7h  31/01/2026,22°C,"Mây thay đổi, trời nắng",91,Lặng gió,56,Thời tiết Quy Nhơn (Gia Lai)
7h  31/01/2026,23°C,"Nhiều mây, không mưa",87,Lặng gió,57,Thời tiết Long Châu (Vĩnh Long)
7h  31/01/2026,23°C,"Mây thay đổi, trời nắng",93,Lặng gió,58,Thời tiết Long Xuyên (An Giang)
7h  31/01/2026,21°C,"Mây thay đổi, trời nắng",96,Gió tây nam - tốc độ: 1 m/s,59,Thời tiết Tuy Hòa (Đắk Lắk)
7h  31/01/2026,22°C,"Nhiều mây, không mưa",86,Gió bắc đông bắc - tốc độ: 1 m/s,60,Thời tiết Phan Rang (Khánh Hòa)
7h  31/01/2026,20°C,"Nhiều mây, không mưa",96,Gió đông - tốc độ: 1 m/s,61,Thời tiết Hạc Thành (Thanh Hóa)
7h  31/01/2026,21°C,"Nhiều mây, không mưa",97,Lặng gió,62,Thời tiết Tam Kỳ (Tp Đà Nẵng)
7h  31/01/2026,18°C,"Nhiều mây, không mưa",95,Gió đông - tốc độ: 1 m/s,63,Thời tiết Hạ Long (Quảng Ninh)
7h  31/01/2026,14°C,"Nhiều mây, không mưa",94,Lặng gió,64,Thời tiết Tân Phong (Lai Châu)
